"","City","Name","Country","UN.Region.Level.1","UN.Region.Level.2","id","lang","CollectorNm","RespondentID","CollectorID","StartDate","EndDate","IPAddress","EmailAddress","FirstName","LastName","CustomData","q01","q01x","q0201","q0202","q0203","q0204","q03","q04","q04x","q0501a","q0501b","q0502a","q0502b","q0503a","q0503b","q0504a","q0504b","q0505a","q0505b","q0506a","q0506b","q0507a","q0507b","q0508a","q0508b","q05x","q0601","q0602","q0603","q0701","q0702","q0703","q0704","q0705","q0706","q08","q0901","q0902","q10","q10x","q11","q11x","q12","q13","q1401","q14x","q1501","q1502","q1503","q1504","q15x","q1601","q1602","q1603","q1604","q16x","q1701","q17x","q1801","q1802","q1803","q1804","q18x","q19","q19x","q20","q20x","q21","q21x","q22","q23","q2401","q2402","q2403","q2404","q2405","q2501a","q2501b","q2501c","q2501d","q2501e","q2501f","q2502a","q2502b","q2502c","q2502d","q2502e","q2502f","q2503a","q2503b","q2503c","q2503d","q2503e","q2503f","q2504a","q2504b","q2504c","q2504d","q2504e","q2504f","q2505a","q2505b","q2505c","q2505d","q2505e","q2505f","q2506a","q2506b","q2506c","q2506d","q2506e","q2506f","q2507a","q2507b","q2507c","q2507d","q2507e","q2507f","q2508a","q2508b","q2508c","q2508d","q2508e","q2508f","q2509a","q2509b","q2509c","q2509d","q2509e","q2509f","q2510a","q2510b","q2510c","q2510d","q2510e","q2510f","q2511a","q2511b","q2511c","q2511d","q2511e","q2511f","q25x","q2601","q2602","q2603","q2604","q2605","q2606","q2607","q2608","q26x","q27","q28","q29","q29x","q30","q31","q31x","q32a","q32b","q32x","q3301","q3302","q3303","q3304","q3305","q3306","q3307","q3308","q3309","q3310","q33x","q34","q34x","q35","q35x","q3601","q3602","q3603","q3701","q3702","q3703","q3704","q3705","q3706","q3707","q3708","q37x","q3801","q3802","q3803","q3804","q3805","q3806","q3807","q3808","q3809","q3810","q3811","q3812","q3813","q38x","q39","q4001a","q4001b","q4001c","q4001d","q4001e","q4001f","q4002a","q4002b","q4002c","q4002d","q4002e","q4002f","q4003a","q4003b","q4003c","q4003d","q4003e","q4003f","q4004a","q4004b","q4004c","q4004d","q4004e","q4004f","q4005a","q4005b","q4005c","q4005d","q4005e","q4005f","q4006a","q4006b","q4006c","q4006d","q4006e","q4006f","q4007a","q4007b","q4007c","q4007d","q4007e","q4007f","q4008a","q4008b","q4008c","q4008d","q4008e","q4008f","q4009a","q4009b","q4009c","q4009d","q4009e","q4009f","q4010a","q4010b","q4010c","q4010d","q4010e","q4010f","q4011a","q4011b","q4011c","q4011d","q4011e","q4011f","q4012a","q4012b","q4012c","q4012d","q4012e","q4012f","q4013a","q4013b","q4013c","q4013d","q4013e","q4013f","q4014a","q4014b","q4014c","q4014d","q4014e","q4014f","q4015a","q4015b","q4015c","q4015d","q4015e","q4015f","q4016a","q4016b","q4016c","q4016d","q4016e","q4016f","q4017a","q4017b","q4017c","q4017d","q4017e","q4017f","q4018a","q4018b","q4018c","q4018d","q4018e","q4018f","q4019a","q4019b","q4019c","q4019d","q4019e","q4019f","q4020a","q4020b","q4020c","q4020d","q4020e","q4020f","q40x","q41","nQ","iQ","X41","Univ","Answered","Completion"
"23","ESKISEHIR TEPEBASI MUNICIPALITY","Tepebasi ","Turkey","Western Asia","Asia",73,"en",,,,,,,,,,,225,"ESKISEHIR TEPEBASI MUNICIPALITY",,,,,1,1,"Our mayor won the 2014 elections with the %45,3 of total votes. He is the mayor of Tepebasi since 2009.",1,,,1,,,,,,,1,1,,,,,"Central government appointed official doesn't have much executive power as the mayor.",314599,"2013","TURKISH STATISTICAL INSTITUTE","2014","%90,58","2009","%85,62","2004","%81,78",442,5,,136,"127 225 492",136,"101 365 499",1,2,10,,6,,2,7,"OTHER: TUITION, DONATION, PENALTY FEE ETC.",,5,,2,"",4,"",2,,2,9,"Other includes areas owned by public administrations like Forest, Railroad and Highway Adminstrations, universities, factory and corporations established by public private partnerships.",1,,3,"%10 of the local revenue from last year.",1,,"ESKISEHIR METROPOLITAN AREA",1,"ESKISEHIR METROPOLITAN MUNICIPALITY","TEPEBASI MUNICIPALITY","","","",,2,4,,3,,,3,4,,4,,,2,2,,4,,,3,3,,3,,,2,3,,4,,,3,3,,3,,,2,2,,4,,,2,2,,4,,,1,2,,4,,,1,1,,4,,,3,3,,3,,"",1,1,1,1,,,,1,"Other includes Healthy City Council, Neighborhood Councils and Youth Council",1,"Women and youth",1,,"If there is any suspicious incident or any formal complaints, legal actions take place immediately.",1,,4,1,"2012-2014 TEPEBASI STRATEGIC PLAN",1,,1,,,1,1,1,,,"Transportation is under the authority of Metropolitan Municipality. The transport models we use are being made by them.",1,"Transport is under the authority of metropolitan municipality.",,"","Central government has the authority over the local governments planning decisions","The sudden change of the municipality borders in 2014 caused infrastructure problems at the rural areas","Unemployment",,1,,1,1,,,,"",,,,,1,1,,,1,,1,,,"",1,,3,4,,2,,,3,4,,2,,,3,4,,1,,,1,4,,1,,,1,4,,2,,,1,4,,1,,,1,4,,2,,,1,4,,1,,,1,4,,1,,,1,4,,1,,,1,4,,1,,,1,1,,4,,,1,1,,4,,,4,3,,1,,,4,3,,1,,,1,4,,1,,,1,4,,1,,,1,1,,4,,,1,1,,4,,,3,3,,3,,"","",177,54.46,,41,"#VALUE!","#VALUE!"
"24","eThekwini Municipality-City of Durban","Durban","South Africa","Southern Africa","Africa",92,"en",,,,,,,,,,,248,"eThekwini Municipality-City of Durban",,,,,1,2,"Mayor elected by City Councillors (political contingent)",,,1,,,,,,,,,1,,,,,"",3500000,"2011-2012","Annual Report-2013","2000","60%","2005","65%","2010","65%",25000,8,7,165,"ZAR13 Billion",165,"15Billion",1,1,6,,6,5,2,,"",2,2,,1,"",8,"",5,2,3,,"",1,,2,"",2,,"",1,"1ha","2ha","3ha","4ha","5ha",2,4,4,3,3,,2,4,4,3,3,,2,4,4,3,3,,2,4,4,3,3,,2,4,4,3,3,,2,4,4,3,3,,2,4,4,3,3,,2,4,4,3,3,,2,4,4,3,3,,2,4,4,3,3,,2,4,4,3,3,,"",,1,1,1,,,,,"",2,"",1,,"Whiste Blowing",1,,1,1,"Integrated Development Plan",1,1,1,1,,,1,1,,,"",2,"",5,"","Unemployment","Poverty","Poor Public Transportation",,,1,,1,,,,"",,,1,,,1,1,1,,,,,,"",1,1,2,4,3,2,,1,2,4,3,2,,1,2,4,3,2,,1,2,4,3,2,,1,2,4,3,2,,1,2,4,3,2,,1,2,4,3,2,,1,2,4,3,2,,1,2,4,3,2,,1,2,4,4,2,,1,2,4,3,2,,1,2,4,3,2,,1,2,4,3,2,,1,2,4,3,2,,1,2,4,3,2,,1,2,4,3,2,,1,2,4,3,2,,1,2,4,3,2,,1,2,4,3,2,,1,2,4,3,2,,"","no",233,71.69,,39,"#VALUE!","#VALUE!"
"25","Fagaras/Jud. Brasov","Fagara","Romania","Eastern Europe","Europe",101,"en",,,,,,,,,,,189,"Fagaras/Jud. Brasov",,,,,1,1,"",1,,,1,,,,,,,,,,,,,"",32440,"2010","local census","2014","30","2012","45","2012","60",243,12,12,43,"8 000 000",43,"2 500 000",1,1,5,,9,3,1,1,"",4,7,1,1,"",2,"",9,2,1,,"",1,,3,"30%",2,,"",2,"","","","","",1,4,1,1,1,,1,4,1,2,2,,1,4,1,2,1,,,4,,4,,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,2,,,4,,4,,,,4,,4,,,"",1,1,1,1,,,,,"",2,"",1,,"governemment institutions  -police institutions   -national anticorruption officed  -financial account yard  -etc.",1,,2,2,"Municipality strategy 2014-2020",1,1,,1,1,1,1,1,,,"",2,"",5,"","infrastructures","economics","management",1,,,1,1,,1,,"",1,,,,1,1,,,1,1,1,,,"",1,,4,,,,,,4,,,,,,4,,,,,,4,,4,4,,,4,,,,,,4,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,,,,,,,,,,,,,4,,,,,"","",125,38.46,,38,"#VALUE!","#VALUE!"
"26","Fortaleza","Fortaleza","Brazil","South America","Latin America and the Caribbean",163,"es",,,,,,,,,,,29,"Fortaleza",,,,,1,1,"",1,,,1,,,,,,,,,,,,,"",2800000,"2013","IBGE","2012","80%","2008","70%","","",56000,7,4,20,"34.631.710",20,"37.285.290",1,1,3,,2,2,2,,"",3,5,,,"",11,"",11,11,11,11,"",1,,3,"51%",1,,"Area Metropolitana de Fortaleza",1,"Regionales","","","","",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,4,3,,,,,,,,"",1,1,1,1,1,,,,"",3,"",1,,"",1,,2,1,"Plan  Diretorio",,,,,,,,1,,,"",2,"",8,"","Violencia Urbana","Habitacion","Mobilidad",,,,,,,,1,"",,,,,,,1,,,,,,,"",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",66,20.31,,40,"#VALUE!","#VALUE!"
"27","Gaza","City of Gaza","Palestine","Western Asia","Asia",128,"en",,,,,,,,,,,182,"Gaza",,,,,1,3,"",1,,,1,,,,,,,,,,,,,"",477271,"2007","Palestinian Central Bureau of Statistics (PCBS)","N/A","N/A","N/A","N/A","N/A","N/A",1478,6,12,60,"72727220",60,"71450877",1,2,11,,3,8,,2,"Leasing and fines",2,,,,"",6,"",5,,3,,"",1,,2,"",2,,"",2,"","","","","",1,4,1,1,3,,2,4,1,1,3,,3,2,1,1,4,,3,2,1,1,4,,3,3,1,1,4,,1,4,1,1,2,,1,2,1,1,4,,1,1,1,1,4,,1,4,1,1,2,,1,1,1,1,4,,3,2,1,1,4,,"",,1,,,,,,,"",2,"",1,,"The municipality of Gaza has a general audit department which is linked directly to the mayor and the municipal council. This department is responsible for conducting investigation in any reported/discovered corruption case and address their report to the mayor directly.",1,,3,1,"Strategic Development and Investment Plan",,,,,,,,,1,,"",3,"",,"","Political instability","Lack of resources","Lack of planning",,,,,1,,1,,"",1,,1,,1,,1,1,,,,,,"",1,,4,,,,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,1,,,,,,4,,,,,,4,,,3,,,4,,"","The mayor and the municipal council of Gaza city are appointed by the central goverment since 1994. They are supposed to be elected according to the law but the political instability did not allow that to happen.",133,40.92,,38,"#VALUE!","#VALUE!"
"28","Gobierno de la Ciudad de México","Mexico City","Mexico","Central America","Latin America and the Caribbean",206,"es",,,,,,,,,,,156,"Gobierno de la Ciudad de México",,,,,1,1,"",1,,,1,,,,,,,,,,,,,"El Alcalde de la ciudad ostenta el título oficial de Jefe de Gobierno del Distrito Federal. El Concejo se denomina Asamblea Legislativa del Distrito Federal.",8851080,"2010","Instituto Nacional de Estadística y Geografía (INEGI)","2012","65.98%","2006","67.24%","2000","69.87%",340000,7,,142,"12 billones de dólares (157,756.2 millones de pesos mexicanos)",142,"12.5 billones de dólares (163,390.2 millones de pesos mexicanos)",1,1,7,,6,5,,3,"Ingresos propios del sector paraestatal",,6,,,"",2,"5.04%",2,,2,,"",1,,3,"El límite de endeudamiento de cada año se fija en las Leyes de la Federación y de Ingresos del Distrito Federal. El límite de endeudamiento para 2014 es de 4,500 millones de pesos mexicanos (equivalente a 350 millones de dólares)",2,,"",1,"16 Delegaciones Políticas con autoridad electa","","","","",1,4,3,,2,,3,4,1,,1,,2,3,1,,4,,3,4,1,,4,,2,4,3,,3,,1,4,1,,4,,1,3,1,,4,,1,3,1,,4,,,,,,,,2,4,2,,3,,3,3,1,,4,,"",1,1,,,1,,1,,"Consejos consultivos ciudadanos",2,"",1,,"Consejo Ciudadano de Seguridad Pública y Procuración de Justicia / Centro de Atención del Secretario de Seguridad Pública / Instituto de Información Pública del Distrito Federal",1,,2,2,"Programa General de Desarrollo del Distrito Federal",,,1,,,,1,1,,,"",3,"No existe aún. Sin embargo, la recién aprobada Ley de Movilidad establece la necesidad de crear un Órgano Regulador del Transporte",,"","Seguridad pública y procuración de justicia","Desarrollo urbano, movilidad y protección ambiental","Desarrollo social (empleo, salud, inclusión)",,,,1,,,,,"El Gobierno Federal aprobó recientemente reformas hacendaria, educativa, energética y de telecomunicaciones.",,,,,,,,,,,1,1,,"Falta de mecanismos eficientes de coordinación metropolitana con los municipios conurbados",1,3,4,1,,3,,3,4,2,,3,,2,4,2,,3,,2,4,2,,3,,2,4,3,,3,,2,4,3,,3,,2,4,3,,3,,2,4,3,,3,,2,4,3,,3,,2,4,3,,4,,2,4,4,,1,,2,4,3,,4,,2,4,3,,1,,2,4,2,,1,,2,4,1,,1,,1,4,1,,4,,1,4,1,,4,,1,4,1,,4,,1,4,1,,1,,1,4,1,,1,,"","",190,58.46,,39,"#VALUE!","#VALUE!"
"29","Graz","Graz","Austria","Western Europe","Europe",119,"en",,,,,,,,,,,12,"Graz",,,,,1,2,"",1,,1,,1,,,,,,,,,,,,"",305000,"2014","Bureau of Statistics","2012","55,47%","2008","57,90%","2003","58,37%",3300,12,2,43,"842.437.578",43,"838.722.388",1,2,12,,12,12,12,12,"",12,12,12,12,"",2,"1,41%",11,11,11,11,"",1,,3,"",2,,"",1,"Districts","","","","",,4,,3,2,,,4,,3,2,,,3,,4,4,,,3,,3,3,,,3,,3,3,,,4,,2,2,,,2,,3,3,,,2,,3,4,,,4,,2,2,,,2,,2,4,,,4,,2,2,,"",1,1,1,1,,,,,"",1,"e.g. women",1,,"every employee has to pass a kind of exam",1,,2,1,"pact of stability",1,1,1,1,,1,1,1,,,"",2,"",1,"multiple choice didn´t work.. also includes bus, tram, local roads, main roads, traffic management","Growth","Cleanliness","Integration",,,,,1,,1,,"",,,,,,,,,,,,,1,"",1,,4,,,,,,4,,2,,,,1,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,,,,4,,,,,,4,,4,,,,4,,4,,,,,,,,,,,,,,,,4,,,,,"","",129,39.69,,40,"#VALUE!","#VALUE!"
"30","Greater Vancouver Regional District","Vancouver (Metro)","Canada","Northern America","Northern America",144,"en",,,,,,,,,,,36,"Greater Vancouver Regional District",,,,,2,3,"Chair is elected by other members.  All are appointed by their municipalities.",,,,,,,,1,,,,,,,1,,"The Greater Vancouver Board of Directors is composed of elected Mayors and Councillors from the member municipalities who annually elect, from the members of the Board, a Chair & Vice Chair.",2450000,"2013","BC Stats","2011","27.00%","2008","26.10%","2005","29.60%",1460,12,12,25,"$647.1 million for the 2014 operating budget",25,"$647.1 million in 2014",1,1,11,,2,10,1,2,"rents collected from tenants in our affordable housing complexes",2,2,1,1,"",11,"",5,2,1,1,"We track land by use, not by ownership.",1,,3,"Within Metro Vancouver, the GVRD is limited to debt servicing to 25% of revenues.  The debt limits on the utilities are determined by the respective boards,",1,,"Metro Vancouver",2,"","","","","",,2,2,4,2,4,,4,3,3,3,,,3,2,4,2,,,2,1,4,4,,,3,2,4,4,,,4,4,3,3,,,2,2,3,4,,,1,1,4,1,,,2,1,4,4,,,4,1,3,3,,,2,2,3,3,,"",1,1,,,,,,,"",2,"",,,"",1,,1,1,"Creating our future in a livable region: Board Strategic Plan",1,1,1,1,1,,1,1,,,"",2,"Partly accountable to local government.  Partly accountable to the Province.  Legislation is Provincial.",5,"","defining the parameters of """"livability'","constrained fiscal tools and funding sources","reducing solid and liquid waste flows",,,,,,,,1,"Constrained spending by other levels of government is increasing the demands on local governments to address issues outside our mandate",,,,,,,,,,1,1,,,"",1,,4,2,1,1,,,4,2,2,1,,,3,1,3,1,,,2,1,1,1,,,4,1,1,1,,,2,1,4,1,,,2,1,4,1,,,,,,,,,,,,,,,3,1,4,2,,,2,1,4,1,,,1,1,4,1,,,1,1,4,1,,,4,1,2,1,,,4,1,1,1,,,2,1,4,2,,,2,1,4,1,,,1,1,4,2,,,1,1,4,2,,,4,1,4,1,,"","",194,59.69,,39,"#VALUE!","#VALUE!"
"31","Hyderabad","Hyderabad ","India","South-Central asia","Asia",56,"en",,,,,,,,,,,104,"Hyderabad",,,,,1,2,"",,1,1,1,1,,,,1,,1,,,,,,"",6809970,"2011","Census of India","2009","46%","","","","",25000,5,5,61,"45990000000",61,"14400000000",1,2,5,,,,,,"",,,,,"",,"",,,,,"",1,,1,"",1,,"Hyderabad Metropolitan Development Area",1,"Ward Sabha","Area Sabha","","","",,,,4,,,,3,4,,,,,,,3,4,,,2,,2,2,,,2,2,2,2,,2,4,,,,,,2,,3,,,,2,,4,,,,,,2,3,,,,,4,,,,3,,,,,"",1,1,,,,,,,"",1,"Scheduled Castes, Scheduled Tribes",1,,"You can file a complaint against any corruption by a public servant under the Andhra Pradesh Lokayukta and Upa-lokayukta Act, 1983.",1,,10,2,"City Development Plan",,,,,,,,,1,,"",3,"",,"","Accountability","Transparency","Finance",,1,,,,,,,"",1,,,1,1,1,,,,,1,,,"",1,,3,3,,,,,4,2,,,,,,,4,,,,,,4,,,,,,4,,,,2,,4,,,,2,,4,,,,,,,,,,,,,,,,,,4,,,,,,4,,,,,,,,,,,,,,,,4,,,,,,2,,3,,,,2,2,3,,,,,,3,,,,,,,4,,,,,,4,,,,,4,,,"","This survey is very objective in nature and does not cover a lot of qualitative information, which are very vital to understand the nature of city governance. The information asked is very specific and should be directed towards city officials.",104,32,,41,"#VALUE!","#VALUE!"
"32","Ilo-Municipalidad Provincial e Ilo","Ilo","Peru","South America","Latin America and the Caribbean",187,"es",,,,,,,,,,,173,"Ilo-Municipalidad Provincial e Ilo",,,,,1,2,"",1,1,,1,,,,,,,,,,,,,"",63780,"2007","INEI-Instituto Nacional de Estadistica2","2010","5072500%","2006","47,000 estimado","2002","42,000estimado",534,4,,106,"S/",106,"S/ 141´450,009.85",1,1,10,,2,2,3,6,"",4,3,,12,"",,"",,,,,"",1,,1,"",2,,"",1,"Distrito de Ilo","Distrito de el Algarrobal","Distrito De Pacocha","","",1,4,1,3,4,1,1,4,1,3,4,1,3,4,1,4,3,4,1,4,1,2,3,3,2,4,1,4,4,4,3,3,1,4,4,1,3,3,1,4,4,2,3,3,1,4,4,3,,,,,,,3,3,1,4,4,2,3,4,1,4,4,3,"",1,1,1,,1,,,,"",1,"Sociedad Civil Organizada y Colegios Profesionales",1,,"A Través de la Contraloría General de la Republica, Ministerio Publico",1,,2,1,"Plan Estrategico Institucional",,1,1,1,1,1,1,1,,,"",2,"",,"","Elaborar el Plan de Zonificación Economica Ambiental","Actualizar el Plan de Acondicionamiento Territorial","Elaborar el Plan de Desarrollo Urbano",,,,1,,,,,"",,,,,,1,1,1,1,,,1,,"",1,2,4,1,1,1,1,2,4,1,1,1,1,2,4,1,1,1,1,2,4,4,1,1,1,1,4,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,,4,1,3,3,1,1,4,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,"Tren de Carga Particular","De acuerdo a ley de Municipalidades no se puede crear Empresas Municipales",254,78.15,,40,"#VALUE!","#VALUE!"
"33","Istanbul Metropolitan Municipality","Istanbul","Turkey","Western Asia","Asia",141,"en",,,,,,,,,,,225,"Istanbul Metropolitan Municipality",,,,,1,1,"Belediye baskani bes yilda bir halk tarafindan seclir. Uest ueste secilme konsusunda bir sini yoktur (SEE PDF SURVEY)",1,1,,1,,1,,,,,,,,,,,"Mayor is also the Chairman of the Municipal Assembly, which has 301 member in total. In addition to this, there is an executive board which acts as an executive body of the municipality.",14160467,"2013","","2014","90.66%","2009","81.47%","2004","68.32%",13895,12,5,142,"3.7 billion dollars, 8 billion Turkish liras",142,"3.4 billion dollars, 7.2 billion turkish liras",1,2,11,,2,12,2,,"",10,,,,"",4,"34.80%",11,11,11,11,"",1,,1,"",1,,"Istanbul Metropolitan Municipality",1,"39 districts","782 quarters","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",1,,,1,,,,,"",2,"",2,,"",1,,5,1,"Istanbul Metropolitan Municipality 2010-2014 Strategic Plan",1,,1,,,,,1,,,"",2,"",5,"","","","",,,,,,,,,"",,,,,,,,,,,,,,"",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","",62,19.08,,39,"#VALUE!","#VALUE!"
"34","Kajaran Municipality","Kajaran","Armenia","Western Asia","Asia",88,"en",,,,,,,,,,,7,"Kajaran Municipality",,,,,1,1,"",1,,,,,,,,,,,,,,,,"Seniors",7354,"2014","","2012","5117","2008","3723","2005","3548",50,12,12,4,"302.884.6",4,"302.884.6",2,2,11,,11,,11,,"",,5,,,"",11,"",10,,,,"",2,,,"",2,,"",2,"","","","","",,3,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,,3,,,,,"",,,,,,,,1,"",3,"",2,,"",1,,3,1,"Four-year Development pian",1,1,1,1,1,,,,,,"",1,"",5,"","","","",1,,,,,1,,,"",,,,,,1,,,,,,,,"",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","We can not tell you anything about my towen, because the everthing going",65,20,,37,"#VALUE!","#VALUE!"
"35","Khanyounis","Khan Yunis","Palestine","Western Asia","Asia",105,"en",,,,,,,,,,,182,"Khanyounis",,,,,1,3,"",,1,,1,,,1,,,,,,,,,,"",230000,"2013","Center PCBS","","","","","","",488,2,2,142,"4500000",142,"2500000",1,1,7,,1,1,2,4,"crafts and buildings registrations Fees",12,12,12,12,"",4,"38% shared with the palestinian land authority",2,2,3,1,"Ministry of land Authority",1,,3,"aloan or two depending on the ability of repay/month",2,,"",1,"Palestinian Territory","Gaza Strip","Khanyounis Governorate","Khanyounis city (54 KM2)","the city is divided to 19 Neighborhoods",2,3,3,4,4,,3,4,2,2,4,,4,4,2,3,3,,4,4,2,2,4,,4,3,3,3,3,,2,2,2,2,2,,2,2,2,2,4,,3,3,2,2,4,,2,3,1,2,4,,3,3,1,2,3,,4,4,2,2,4,,"",,1,,1,,,,,"",1,"the new parts of city which added recently (south parts) by By having a committee or representation of classes called (Lagnat Hai)",1,,"citizen can report any corruption or misuse by going to the senior management level in the organization itself or by going to the Central Committee in the ministry of local government. then committee is formed to study the complaint and visit the place or the person involved.",1,,2,1,"khanyounis stratigic plan (you participation makes the city nicer)",1,1,1,1,,,,1,,,"",2,"",12,"","controlling urban development despite SURGE Population","renewing and updating the urban plan of the city","Urban development of the tourism sector and investment in the city",,,,,1,,1,,"",,,,,1,1,,,1,1,,1,,"The Israeli siege on Gaza and prevent the entry of construction and development materials",1,3,3,1,2,2,,3,3,1,2,2,,3,2,2,3,4,,3,3,2,3,4,,4,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,2,2,4,,4,4,2,2,4,,2,3,2,3,4,,2,3,2,3,4,,,,,,,,,,,,,,2,3,2,2,4,,"Note: the ones that remain empty is not applied in my city","thanks for your efforts and hope for better future",192,59.08,,40,"#VALUE!","#VALUE!"
"36","La Paz","La Paz","Bolivia","South America","Latin America and the Caribbean",172,"es",,,,,,,,,,,28,"La Paz",,,,,1,1,"",1,,,1,,,,,,,,,,,,,"",840207,"2010","Gobierno Municipal de La Paz","2009","72","2004","75","1999","78",1500,7,6,19,"1.800.000.000",19,"1.800.000.000",1,1,4,,8,3,3,,"",,10,2,,"",3,"",9,2,2,,"",1,,3,"Determina la Ley Financial anualmente",2,,"",1,"Sub Alcaldes","","","","",,4,,,3,,,4,,3,3,,,3,,3,4,,,3,,3,3,,,2,,3,4,,,2,,,4,,,3,,3,4,,,3,,3,4,,,,,,,,,1,,3,4,,,3,,2,4,,"",1,,,,1,,,,"",2,"",1,,"Oficinas de Transparencia en distintas reparticiones, sin embargo la desconfianza de la ciudadanía es significativa",1,,1,5,"La Paz 2040",,,,,,,,1,,,"",3,"",,"","transporte","telecomunicaciones","generación de empleos",,,,,,1,1,,"",1,1,,1,,1,1,1,1,1,1,,,"",1,1,1,,1,1,,1,1,,1,1,,2,2,,1,4,,1,3,,3,3,,1,3,,3,3,,1,3,,3,3,,1,3,,3,3,,1,1,1,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,4,,1,1,,1,4,,1,1,,1,4,,1,1,,1,4,,1,1,,1,1,,3,4,,1,1,,3,4,,1,3,,3,3,,"","La encuesta no consideró la recreación y el ocio",180,55.38,,39,"#VALUE!","#VALUE!"
"37","LEUVEN","Leuven","belgium","Western Europe","Europe",81,"en",,,,,,,,,,,19,"LEUVEN",,,,,1,2,"",1,1,1,1,,,1,,,,,,,,,,"",98539,"2014","Official City site","2014","100 % ( theoretically as we have compulsary voting)","2012","100% (idem)","","",1100,2,3,43,"approx. 950.000",,"",1,1,3,,12,12,12,,"",5,3,,2,"",3,"approx.",,,,,"",1,,3,"",2,,"",2,"","","","","",,4,,3,2,,,3,,2,1,,,3,,3,2,,,4,,2,2,,,3,,2,3,,,4,,2,3,,,3,,3,3,,,3,,4,4,,,3,,3,2,,,4,,3,2,,,4,,2,2,,"",1,1,,1,,,,,"",1,"",1,,"",1,,,,"Structuur Plan Leuven",1,1,1,1,,,1,,,,"",3,"",,"","CO2 reduction, climate change","Budget cuts","",,,,1,1,,,,"",1,,,,,,,,,,1,,,"",1,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,4,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,4,,,,,,3,,,,,,2,,,,,,2,,,,,,1,,,,,,3,,,,,"no light rail (possibly planned), no suburbanrail or Metro","Being a University town, the city has to service for approx. 30.000 students who do not directly contribute to direct city income.",109,33.54,,39,"#VALUE!","#VALUE!"
